id,pack_type,extra_time,extra_flow,pack_change,contract,loss
1,1,792.8333333,-10.45006673,0,0,0
2,1,121.6666667,-21.14111719,0,0,0
3,1,-30,-25.65527344,0,0,1
4,1,241.5,-288.3412538,0,1,0
5,1,1629.666667,-23.65550487,0,0,0
6,1,182,-115.8635839,0,1,0
7,1,196.3333333,221.2942066,0,1,0
8,1,539.5,81.16059983,0,1,0
9,1,1037.166667,8.344392727,0,1,0
10,2,289,-131.7845179,0,0,0
11,1,1541.8,-136.3916398,0,1,1
12,1,90,-27.69086075,0,1,1
13,1,407.5,112.7882915,0,1,0
14,1,157.8333333,45.25510021,1,1,0
15,2,-307.1666667,-356.3520772,0,0,0
16,1,1163.5,94.63211624,0,1,0
17,1,1642.333333,55.14112037,0,1,0
18,1,644.1666667,-73.36400368,0,0,0
19,2,-95,9.482442007,0,0,0
20,1,1058.733333,-10.60358183,0,0,1
21,1,1053.5,180.9235095,1,1,0
22,1,597.5,9.895255809,0,0,0
23,1,2747.833333,-42.40835601,0,0,0
24,1,36.5,-81.62792891,0,1,0
25,1,-77.16666667,-60.14,0,0,1
26,1,2125.166667,162.812472,0,0,1
27,1,-113.5,-59.96281449,0,0,1
28,1,19,-101.8744688,0,0,1
29,1,260.3333333,43.00811957,0,0,1
30,1,-49.83333333,66.20283254,0,0,1
31,1,-95.33333333,-60,0,0,1
32,1,3463,-61.567,0,0,1
33,1,545.3333333,-43.32127906,0,1,0
34,1,379.5,193.5451365,0,0,0
35,1,581,24.36129674,0,1,0
36,1,74.33333333,-96.33542398,0,1,0
37,1,-50,-223.84,0,0,1
38,1,1292.833333,-75.32850385,0,1,0
39,2,581.3333333,88.85378353,0,0,0
40,1,2780,-179.3380785,0,1,1
41,1,101.1666667,-14.57847534,0,1,0
42,1,3200.8,-292.2040189,0,1,1
43,1,1233.833333,31.67701932,0,1,0
44,1,-154.5,-55.07950974,0,0,1
45,1,14.16666667,228.9802855,0,1,0
46,1,-179.3333333,-59.88655122,0,0,1
47,1,515.1666667,55.89165759,0,1,0
48,1,124.6666667,-101.6156807,0,1,0
49,1,-101.3333333,-59.82387248,0,0,1
50,1,-167.8333333,-55.08220977,0,0,1
51,1,96.16666667,-56.35280358,0,0,1
52,2,249.8333333,5.31484057,0,1,0
53,1,441.1666667,-24.30631842,0,1,1
54,1,598,212.523294,0,0,0
55,1,-50,-59.92465369,0,0,1
56,1,77.46666667,-48.79532519,0,0,1
57,1,321.3833333,-36.6923894,0,1,1
58,1,1046.666667,-51.54067365,0,0,0
59,2,347.1666667,-974.9354562,0,0,0
60,1,-165.1666667,-59.94882973,0,0,1
61,1,595.3333333,-59.98468447,0,0,1
62,1,-162.1666667,-59.90118017,0,0,1
63,1,271.3333333,-97.8849868,0,1,0
64,1,-376.8333333,-50.75284704,0,0,1
65,1,-48.83333333,-300,0,0,1
66,1,-9.166666667,-58.99202529,0,0,1
67,1,-284.1666667,-36.68579817,0,0,1
68,2,2863.333333,270.8680248,0,0,0
69,1,-139.6666667,-60,0,0,1
70,1,97.66666667,39.12641027,0,1,0
71,1,218.6666667,6.062675493,1,0,0
72,1,1422,43.69331322,0,1,0
73,1,-295.6666667,-59.77882905,0,0,1
74,1,-211.3333333,-59.95574458,0,0,1
75,1,-154.8333333,-60,0,0,1
76,1,1822.5,-59.79441452,0,0,1
77,1,764.5,-115.2983997,0,0,0
78,1,-200,143,0,0,1
79,1,-42.16666667,-232.1790236,0,0,1
80,1,-182.5,-59.84766483,0,0,1
81,1,-200,-59.99869108,0,0,1
82,1,-17.16666667,-59.69206993,0,0,1
83,1,-199.5,-55.27002859,0,0,1
84,1,-172.1666667,-59.99941063,1,0,1
85,1,-162.1666667,-22.69780693,0,0,1
86,1,850,-60,0,0,1
87,1,-53.5,-57.36457133,0,0,1
88,1,-118.8333333,-59.32752461,0,0,1
89,1,60.05,-59.53418045,0,0,1
90,1,-86.38333333,-57.09280435,0,0,1
91,1,229.3333333,176.9212561,0,0,0
92,1,365.5,554.1342035,0,0,0
93,1,-10,-52.89514767,0,0,1
94,1,-200,-60,0,0,1
95,1,140,-60,0,0,1
96,1,-137.3333333,-59.76537358,0,0,1
97,1,-195.8333333,-59.94111954,0,0,1
98,1,391,-290.3115284,0,0,1
99,1,-350.1666667,-59.15740442,0,0,1
100,1,3809,-59.94887209,0,0,1
101,1,-136.1666667,-35.76582402,0,1,1
102,1,1012,106.2877577,0,0,1
103,1,1030,-270.4742839,0,0,1
104,1,337.6666667,-56.00238109,0,0,1
105,1,2312,-160.4260635,0,0,1
106,1,-221.5,-59.99696151,0,0,1
107,1,-341.6666667,-58.35357121,0,0,1
108,1,-293.8333333,-59.84418938,0,0,1
109,1,-50,-257.7139441,0,1,1
110,1,-192.1666667,73.88023482,0,0,1
111,1,1021.5,-260.8689479,0,0,0
112,1,1286.666667,-26.28379689,0,0,0
113,1,1291.433333,-44.07650814,0,0,1
114,1,-38.83333333,-123.5189505,0,0,1
115,2,-30,401,0,0,1
116,1,-93,-8.01694164,0,1,0
117,1,-199.6666667,-59.94468975,0,0,1
118,1,501.6666667,-32.88688509,0,1,1
119,1,89,-136.2453899,0,1,0
120,1,1053.833333,67.91889692,0,1,0
121,1,265.1666667,-6.638874116,0,0,0
122,1,-199.5,-59.885779,0,0,1
123,1,-200,96,0,0,1
124,1,-199.3333333,-58.80542755,0,0,1
125,1,-260,-91.34334781,0,0,1
126,1,-10,-299.1958752,0,0,1
127,1,43.33333333,-59.05254763,0,0,1
128,1,-13.48333333,19.7699899,0,1,1
129,1,-90,-26.44731108,0,1,1
130,2,-306,-532.1906092,0,1,1
131,1,-190.5,-59.99995403,0,0,1
132,1,321.1666667,91.23755521,1,1,0
133,1,245.5,-5.022020734,1,1,0
134,1,141.6666667,-52.2195091,0,1,0
135,1,-162.8333333,-59.2714963,0,0,1
136,1,-134.6666667,-60,0,0,1
137,1,-234.1666667,-59.94254891,0,0,1
138,1,1875.333333,-20.07258256,0,0,1
139,1,809.1666667,441.8178544,0,0,0
140,1,-380,-1509,0,0,1
141,1,-182.7166667,-59.95874596,0,0,1
142,1,179.5,-60,0,0,1
143,1,-320,-60,0,0,1
144,1,-181.3333333,-59.72186375,0,0,1
145,1,205.95,-54.25900685,0,0,1
146,1,-35,-104.2594648,0,0,1
147,1,-178.6666667,-59.07892466,0,0,1
148,1,724.6666667,54.9086451,0,1,0
149,1,42.33333333,-31.46092209,0,1,0
150,1,-195.1666667,-59.76676579,0,0,1
151,1,2763.833333,-26.85898283,0,0,1
152,1,349.8333333,-210.0420701,0,1,0
153,1,224.3333333,-33.66294413,0,1,0
154,1,-303.1666667,-51.86262846,0,0,1
155,1,186.3333333,151.0995754,0,1,0
156,1,-50,-1248,0,0,1
157,1,-44.35,-52.94913153,0,0,1
158,1,-372.1666667,-45.34201717,0,0,1
159,1,-138.5,-39.69721079,0,0,1
160,1,628.3333333,-145.7141376,0,1,0
161,1,-99,-255.7272379,0,1,0
162,1,3245,-33.0757157,0,1,1
163,1,2375.6,-77.99620072,0,1,1
164,2,1140.833333,139.3254641,0,1,0
165,1,-20.16666667,-61.76101945,0,0,0
166,1,5.666666667,-59.89573496,0,0,1
167,1,-200,-235,0,0,1
168,1,-19.5,-255.3314425,0,1,1
169,1,659.4,-19.32967509,0,1,1
170,2,-414.1666667,-531.2090686,0,1,1
171,1,427,-89.90870213,0,0,1
172,1,-50,-176.7817235,0,0,1
173,1,913,173.4092525,0,1,0
174,3,-272.5,-629.1973727,0,1,0
175,1,-370,-60,0,0,1
176,2,-198.5,116.9933153,0,1,1
177,1,4249.666667,-59.60987759,0,0,1
178,1,-169.8333333,-59.97013531,0,0,1
179,1,-80,-60,0,0,1
180,1,-123.1166667,-75.36694696,0,0,1
181,1,-61.73333333,-143.2161499,0,0,1
182,1,1183,713.0418426,0,0,0
183,1,3579,-12.93799639,0,0,1
184,1,-10,69.68810368,0,0,1
185,1,608.8333333,65.61520548,0,0,0
186,1,-4.716666667,-40.93077642,0,0,1
187,1,-89.66666667,-177.5832873,0,1,0
188,1,799.8333333,146.8217322,0,0,1
189,1,-181,-59.13398838,0,0,1
190,1,649.7833333,-57.40225863,0,0,1
191,1,72.5,10.51054922,0,1,0
192,2,979.6666667,196.1576114,0,1,0
193,1,-37.5,-59.98676543,0,0,1
194,1,-320,-60,0,0,1
195,1,-50,489,0,0,1
196,1,-38,-201.4199745,0,0,1
197,1,-136.6333333,-59.94683847,0,0,1
198,1,-17.16666667,-270.4491318,0,0,1
